0: id,1: char1,2: emo1,3: char2,4: emo2,5: char3,6: emo3,7: text,8: bg,9: bgm,10: se,11: next
1,empty,Normal,empty,Normal,empty,Normal,わたくしといふ現象は,0,0,0,2
2,empty,Normal,empty,Normal,empty,Normal,仮定された有機交流電燈の,0,0,0,3
3,empty,Normal,empty,Normal,empty,Normal,ひとつの青い照明です,0,0,0,4
4,少女,Normal,empty,Normal,empty,Normal,（あらゆる透明な幽霊の複合体）,0,0,0,5
5,少女,Normal,empty,Normal,empty,Normal,風景やみんなといつしよに,0,0,0,6
6,少女,Normal,empty,Normal,empty,Normal,せはしくせはしく明滅しながら,0,0,0,7
7,少女,Sad,empty,Normal,empty,Normal,いかにもたしかにともりつづける,0,0,0,8
8,少女,Sad,empty,Normal,empty,Normal,因果交流電燈の,0,0,0,9
9,少女,Angry,empty,Normal,empty,Normal,ひとつの青い照明です,0,0,0,10
10,少女,Sad,empty,Normal,empty,Normal,（ひかりはたもち　その電燈は失はれ）,0,0,0,
